central_R,central_Z,width_R,width_Z,ang1,ang2,turns,resistivity
0.921642,1.573941,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
0.970226,1.571825,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.018810,1.569709,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.067393,1.567593,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.115977,1.565477,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.164561,1.563361,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.213145,1.561244,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.261729,1.559128,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.310312,1.557012,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.358896,1.554896,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.407480,1.552780,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.456064,1.550664,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.504648,1.548548,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.553231,1.546432,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.601815,1.544316,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.650399,1.542199,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.698983,1.540083,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.747567,1.537967,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.796150,1.535851,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.844734,1.533735,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.893318,1.531619,0.048584,0.002500,0.000000,3.098064,1.000000,0.000000550
1.916350,1.553060,0.002500,0.042268,0.000000,0.000000,1.000000,0.000000550
1.916350,1.595328,0.002500,0.042268,0.000000,0.000000,1.000000,0.000000550
1.916350,1.637596,0.002500,0.042268,0.000000,0.000000,1.000000,0.000000550
1.916350,1.679864,0.002500,0.042268,0.000000,0.000000,1.000000,0.000000550
1.916350,1.722132,0.002500,0.042268,0.000000,0.000000,1.000000,0.000000550
1.916350,1.764400,0.002500,0.042268,0.000000,0.000000,1.000000,0.000000550
1.935758,1.784280,0.036303,0.002500,0.000000,0.000000,1.000000,0.000000550
1.972062,1.784280,0.036303,0.002500,0.000000,0.000000,1.000000,0.000000550
0.921642,-1.578542,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
0.970226,-1.576425,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.018810,-1.574309,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.067393,-1.572193,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.115977,-1.570077,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.164561,-1.567961,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.213145,-1.565845,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.261729,-1.563728,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.310312,-1.561612,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.358896,-1.559496,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.407480,-1.557380,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.456064,-1.555264,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.504648,-1.553148,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.553231,-1.551032,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.601815,-1.548915,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.650399,-1.546799,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.698983,-1.544683,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.747567,-1.542567,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.796150,-1.540451,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.844734,-1.538335,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.893318,-1.536218,0.048584,0.002500,0.000000,0.043529,1.000000,0.000000550
1.916350,-1.769000,0.002500,0.042268,0.000000,0.000000,1.000000,0.000000550
1.916350,-1.726732,0.002500,0.042268,0.000000,0.000000,1.000000,0.000000550
1.916350,-1.684464,0.002500,0.042268,0.000000,0.000000,1.000000,0.000000550
1.916350,-1.642196,0.002500,0.042268,0.000000,0.000000,1.000000,0.000000550
1.916350,-1.599928,0.002500,0.042268,0.000000,0.000000,1.000000,0.000000550
1.916350,-1.557660,0.002500,0.042268,0.000000,0.000000,1.000000,0.000000550
1.935758,-1.788880,0.036303,0.002500,0.000000,0.000000,1.000000,0.000000550
1.972062,-1.788880,0.036303,0.002500,0.000000,0.000000,1.000000,0.000000550
